Data da Venda,Mês,Região,Vendedor,Código Vendedor,Vendas
2018-05-07,MAI,Sul,Roberta,4,7715.69
2018-01-08,JAN,Norte,Rodrigo,3,10081.36
2018-05-04,MAI,Nordeste,Roberto,1,19228.1
2018-01-28,JAN,Sul,Renata,5,7016.1
2018-04-19,ABR,Sudeste,Rodrigo,3,6081.81
2018-03-05,MAR,Sul,Ricardo,2,1117.7
2018-02-28,FEV,Sudeste,Raquel,7,11422.96
2018-04-09,ABR,Sudeste,Raquel,7,4256.41
2018-04-18,ABR,Sul,Rafael,6,515.87
2018-02-17,FEV,Sul,Roberto,1,5472.74
2018-03-01,MAR,Norte,Raquel,7,11221.39
2018-02-28,FEV,Nordeste,Ricardo,2,3273.02
2018-02-14,FEV,Sudeste,Rodrigo,3,16502.1
2018-03-03,MAR,Sudeste,Ronaldo,8,5377.42
2018-01-28,JAN,Sul,Roberta,4,1861.69
2018-05-23,MAI,Sudeste,Roberto,1,2118.26
2018-05-31,MAI,Norte,Raquel,7,15565.58
2018-02-24,FEV,Nordeste,Ricardo,2,16784.86
2018-01-26,JAN,Sul,Ronaldo,8,2776.5
2018-04-11,ABR,Sul,Renata,5,3238.21
2018-02-09,FEV,Sul,Roberta,4,11447.76
2018-03-21,MAR,Nordeste,Ronaldo,8,5203.32
2018-01-20,JAN,Nordeste,Rafael,6,10551.52
2018-04-07,ABR,Nordeste,Rafael,6,10395.22
2018-02-19,FEV,Norte,Roberta,4,19228.1
2018-04-12,ABR,Nordeste,Rafael,6,2668.01
2018-05-04,MAI,Nordeste,Roberto,1,14452.18
2018-02-09,FEV,Nordeste,Roberto,1,3877.23
2018-02-13,FEV,Sudeste,Ronaldo,8,1723.51
2018-02-06,FEV,Nordeste,Rodrigo,3,18731.12
2018-01-15,JAN,Nordeste,Renata,5,10587.59
2018-03-01,MAR,Norte,Raquel,7,4945.46
2018-05-05,MAI,Norte,Roberta,4,6931.28
2018-04-24,ABR,Sudeste,Roberto,1,3553.15
2018-01-23,JAN,Nordeste,Rafael,6,9788.92
2018-05-11,MAI,Sul,Raquel,7,13724.07
2018-03-15,MAR,Sudeste,Roberta,4,4454.01
2018-02-01,FEV,Norte,Renata,5,6912.4
2018-02-11,FEV,Sul,Raquel,7,17439.15
2018-04-02,ABR,Sudeste,Renata,5,1608.62
2018-05-01,MAI,Nordeste,Rodrigo,3,4206.85
2018-05-19,MAI,Sul,Renata,5,3195.13
2018-01-15,JAN,Norte,Renata,5,7201.54
2018-05-16,MAI,Nordeste,Roberto,1,6075.15
2018-02-07,FEV,Sudeste,Renata,5,4141.22
2018-04-06,ABR,Norte,Roberta,4,2135.39
2018-03-16,MAR,Sul,Roberta,4,5677.95
2018-05-25,MAI,Nordeste,Ricardo,2,6298.36
2018-01-16,JAN,Sul,Rodrigo,3,6326.65
2018-01-13,JAN,Sul,Ricardo,2,14565.41
2018-01-24,JAN,Norte,Rodrigo,3,12836.82
2018-02-03,FEV,Nordeste,Roberta,4,1025.2
2018-02-06,FEV,Sudeste,Roberta,4,16238.79
2018-01-24,JAN,Sudeste,Raquel,7,3259.5
2018-05-05,MAI,Nordeste,Ronaldo,8,19228.1
2018-03-26,MAR,Sul,Ricardo,2,8349.34
2018-04-19,ABR,Norte,Ronaldo,8,6470.67
2018-03-02,MAR,Norte,Ronaldo,8,14260.68
2018-04-30,ABR,Sudeste,Roberta,4,19228.1
2018-03-15,MAR,Norte,Raquel,7,6147.62
2018-01-20,JAN,Sul,Rafael,6,4981.64
2018-04-09,ABR,Norte,Ronaldo,8,5211.64
2018-02-23,FEV,Sudeste,Ronaldo,8,2395.6
2018-05-06,MAI,Nordeste,Roberta,4,13770.02
2018-01-03,JAN,Sudeste,Renata,5,5106.18
2018-03-15,MAR,Sul,Raquel,7,8036.89
2018-02-03,FEV,Sudeste,Ricardo,2,12392.61
2018-04-01,ABR,Sul,Rafael,6,6371.41
2018-01-20,JAN,Nordeste,Roberto,1,7167.22
2018-04-02,ABR,Nordeste,Rafael,6,3833.3
2018-02-14,FEV,Sul,Renata,5,19228.1
2018-05-21,MAI,Nordeste,Rafael,6,13946.18
2018-03-29,MAR,Sudeste,Ricardo,2,1887.82
2018-03-03,MAR,Sul,Roberta,4,3396.88
2018-03-08,MAR,Sudeste,Rodrigo,3,2652.46
2018-02-22,FEV,Sudeste,Rodrigo,3,7643.32
2018-03-29,MAR,Nordeste,Rafael,6,3730.98
2018-02-05,FEV,Sul,Roberto,1,4553.1
2018-01-22,JAN,Sul,Renata,5,2059.4
2018-04-25,ABR,Sul,Rafael,6,471.13
2018-01-06,JAN,Norte,Roberto,1,3367.99
2018-01-18,JAN,Sudeste,Rodrigo,3,4093.82
2018-01-20,JAN,Norte,Ricardo,2,4308.87
2018-05-27,MAI,Sudeste,Raquel,7,1174.27
2018-02-21,FEV,Nordeste,Ronaldo,8,6940.81
2018-01-10,JAN,Sudeste,Rodrigo,3,2696.54
2018-04-04,ABR,Nordeste,Renata,5,11548.67
2018-05-21,MAI,Norte,Renata,5,3594.04
2018-05-31,MAI,Norte,Raquel,7,9288.39
2018-03-23,MAR,Sudeste,Roberto,1,4407.43
2018-02-19,FEV,Sudeste,Ricardo,2,1897.35
2018-04-24,ABR,Sul,Rodrigo,3,1986.59
2018-04-18,ABR,Nordeste,Raquel,7,12915.48
2018-02-14,FEV,Norte,Roberta,4,16275.0
2018-05-08,MAI,Norte,Ricardo,2,3722.21
2018-03-08,MAR,Sul,Renata,5,6566.56
2018-01-12,JAN,Sudeste,Rodrigo,3,10624.31
2018-04-01,ABR,Nordeste,Renata,5,19228.1
2018-04-25,ABR,Norte,Roberto,1,19228.1
2018-02-21,FEV,Nordeste,Roberto,1,1574.91
2018-03-29,MAR,Nordeste,Renata,5,5658.89
2018-03-08,MAR,Nordeste,Roberta,4,5368.05
2018-01-20,JAN,Sudeste,Roberto,1,14434.79
2018-04-02,ABR,Sudeste,Ronaldo,8,7713.95
2018-02-13,FEV,Nordeste,Roberto,1,4147.5
2018-04-07,ABR,Norte,Raquel,7,4266.3
2018-04-24,ABR,Sudeste,Rodrigo,3,1335.74
2018-03-21,MAR,Norte,Roberto,1,18591.4
2018-03-22,MAR,Norte,Ronaldo,8,2506.83
2018-02-26,FEV,Nordeste,Rodrigo,3,2223.14
2018-02-23,FEV,Sudeste,Ricardo,2,985.66
2018-01-23,JAN,Norte,Rafael,6,6904.85
2018-01-25,JAN,Norte,Ronaldo,8,17742.58
2018-01-07,JAN,Sul,Roberto,1,9026.91
2018-01-23,JAN,Norte,Renata,5,4851.06
2018-03-19,MAR,Norte,Renata,5,3177.88
2018-04-02,ABR,Sul,Renata,5,2990.19
2018-04-06,ABR,Nordeste,Rodrigo,3,4956.88
2018-01-03,JAN,Sul,Ricardo,2,3137.26
2018-04-19,ABR,Sul,Rafael,6,3347.7
2018-04-20,ABR,Nordeste,Roberta,4,5684.06
2018-04-09,ABR,Nordeste,Ronaldo,8,3380.73
2018-04-01,ABR,Nordeste,Rafael,6,8308.37
2018-01-22,JAN,Sudeste,Roberto,1,3122.8
2018-01-19,JAN,Sudeste,Raquel,7,2448.12
2018-01-10,JAN,Norte,Roberta,4,11476.43
2018-03-05,MAR,Sudeste,Raquel,7,4139.89
2018-04-17,ABR,Norte,Ricardo,2,2093.21
2018-02-24,FEV,Sudeste,Roberto,1,15550.7
2018-02-08,FEV,Sul,Ricardo,2,19228.1
2018-01-26,JAN,Sul,Renata,5,1480.35
2018-03-25,MAR,Nordeste,Ronaldo,8,3312.6
2018-03-03,MAR,Sul,Rodrigo,3,1142.06
2018-01-19,JAN,Nordeste,Renata,5,4950.0
2018-01-23,JAN,Nordeste,Roberta,4,12047.64
2018-03-06,MAR,Sul,Rodrigo,3,5540.95
2018-01-17,JAN,Nordeste,Renata,5,1875.18
2018-04-24,ABR,Sudeste,Renata,5,8058.38
2018-03-13,MAR,Norte,Ricardo,2,5621.06
2018-01-25,JAN,Nordeste,Renata,5,2322.95
2018-04-18,ABR,Nordeste,Renata,5,2882.95
2018-05-04,MAI,Sudeste,Rafael,6,15681.99
2018-05-30,MAI,Sudeste,Ronaldo,8,2266.28
2018-03-20,MAR,Sul,Ricardo,2,4838.63
2018-01-11,JAN,Nordeste,Ronaldo,8,4275.43
2018-05-29,MAI,Nordeste,Renata,5,10842.01
2018-01-12,JAN,Nordeste,Rafael,6,11091.89
2018-04-12,ABR,Sudeste,Rodrigo,3,10226.02
2018-04-26,ABR,Sudeste,Rafael,6,10539.74
2018-05-28,MAI,Sudeste,Rodrigo,3,7015.9
2018-05-29,MAI,Sul,Rafael,6,3649.32
2018-01-18,JAN,Nordeste,Raquel,7,19228.1
2018-04-10,ABR,Sul,Renata,5,14573.08
2018-05-10,MAI,Norte,Ricardo,2,13200.58
2018-02-15,FEV,Norte,Rafael,6,11266.32
2018-03-11,MAR,Norte,Raquel,7,3076.23
2018-03-29,MAR,Norte,Renata,5,7361.81
2018-03-09,MAR,Sul,Roberto,1,2833.06
2018-01-09,JAN,Norte,Roberta,4,8992.51
2018-02-27,FEV,Nordeste,Ronaldo,8,19228.1
2018-03-19,MAR,Nordeste,Rafael,6,1882.75
2018-01-27,JAN,Nordeste,Roberta,4,4751.32
2018-01-10,JAN,Sul,Renata,5,4440.19
2018-03-16,MAR,Nordeste,Rodrigo,3,12848.7
2018-03-28,MAR,Sul,Ronaldo,8,1945.25
2018-03-18,MAR,Sul,Ronaldo,8,3563.44
2018-01-25,JAN,Sudeste,Raquel,7,2791.74
2018-05-24,MAI,Norte,Ricardo,2,9398.8
2018-01-03,JAN,Sudeste,Roberta,4,8590.53
2018-04-19,ABR,Sudeste,Ricardo,2,15131.85
2018-04-11,ABR,Nordeste,Ronaldo,8,1207.77
2018-04-27,ABR,Sudeste,Renata,5,1320.34
2018-04-19,ABR,Sudeste,Ricardo,2,5259.92
2018-01-28,JAN,Sul,Roberta,4,2309.36
2018-05-01,MAI,Sul,Renata,5,3252.41
2018-01-08,JAN,Sudeste,Rodrigo,3,1928.23
2018-03-22,MAR,Sul,Renata,5,19228.1
2018-05-21,MAI,Sul,Roberto,1,10892.18
2018-03-19,MAR,Norte,Roberta,4,4442.61
2018-04-25,ABR,Sudeste,Roberta,4,1412.96
2018-03-18,MAR,Nordeste,Rafael,6,8076.94
2018-03-20,MAR,Sul,Ronaldo,8,6040.51
2018-01-24,JAN,Sudeste,Rafael,6,4119.5
2018-01-22,JAN,Nordeste,Roberta,4,12926.21
2018-05-08,MAI,Sul,Renata,5,7044.89
2018-01-04,JAN,Sudeste,Rafael,6,5704.29
2018-02-18,FEV,Sudeste,Renata,5,8182.2
2018-03-24,MAR,Sul,Roberto,1,19228.1
2018-03-29,MAR,Nordeste,Ricardo,2,2809.59
2018-03-26,MAR,Sul,Ricardo,2,5774.27
2018-02-11,FEV,Nordeste,Ronaldo,8,12018.0
2018-03-30,MAR,Sul,Ronaldo,8,7740.35
2018-05-20,MAI,Nordeste,Raquel,7,19228.1
2018-05-20,MAI,Sudeste,Rafael,6,17242.56
2018-03-08,MAR,Sul,Rafael,6,18192.46
2018-01-10,JAN,Norte,Roberto,1,10151.03
2018-05-31,MAI,Nordeste,Rodrigo,3,9829.59
2018-02-10,FEV,Norte,Roberto,1,11990.32
2018-03-25,MAR,Sul,Rodrigo,3,2261.49
2018-03-07,MAR,Norte,Renata,5,6771.83
2018-05-30,MAI,Sudeste,Roberto,1,9898.03
2018-02-22,FEV,Norte,Ricardo,2,4677.5
2018-05-26,MAI,Sudeste,Roberta,4,19228.1
2018-04-18,ABR,Nordeste,Roberta,4,19228.1
2018-05-16,MAI,Sul,Raquel,7,2624.78
2018-03-30,MAR,Nordeste,Raquel,7,12011.56
2018-01-28,JAN,Norte,Rafael,6,4117.59
2018-05-18,MAI,Sul,Roberto,1,1675.41
2018-02-23,FEV,Norte,Renata,5,13811.11
2018-02-02,FEV,Norte,Roberta,4,2876.8
2018-01-31,JAN,Nordeste,Rodrigo,3,3951.12
2018-02-24,FEV,Norte,Renata,5,6942.46
2018-04-07,ABR,Norte,Raquel,7,7382.23
2018-03-07,MAR,Nordeste,Roberta,4,7948.85
2018-03-31,MAR,Norte,Ronaldo,8,6428.28
2018-05-30,MAI,Norte,Ronaldo,8,6157.3
2018-01-08,JAN,Norte,Rafael,6,6806.51
2018-05-22,MAI,Sul,Ricardo,2,12782.63
2018-01-18,JAN,Sul,Raquel,7,9024.49
2018-05-12,MAI,Norte,Raquel,7,10071.75
2018-01-07,JAN,Norte,Renata,5,8767.8
2018-04-27,ABR,Sudeste,Roberta,4,1532.54
2018-01-22,JAN,Nordeste,Rafael,6,2633.75
2018-02-22,FEV,Sul,Rafael,6,5509.24
2018-05-14,MAI,Norte,Renata,5,3751.78
2018-05-19,MAI,Sudeste,Ricardo,2,2354.53
2018-04-21,ABR,Norte,Roberta,4,5324.97
2018-04-20,ABR,Sul,Raquel,7,5462.8
2018-05-30,MAI,Nordeste,Raquel,7,13464.45
2018-04-04,ABR,Nordeste,Raquel,7,11089.19
2018-01-25,JAN,Nordeste,Roberta,4,5012.06
2018-01-18,JAN,Norte,Renata,5,5258.32
2018-05-15,MAI,Nordeste,Raquel,7,12961.79
2018-03-08,MAR,Sul,Rodrigo,3,3355.66
2018-04-22,ABR,Nordeste,Ricardo,2,10028.5
2018-04-11,ABR,Nordeste,Raquel,7,7291.64
2018-02-02,FEV,Sul,Raquel,7,3367.35
2018-04-03,ABR,Nordeste,Rafael,6,4851.9
2018-05-07,MAI,Nordeste,Roberta,4,8023.29
2018-03-20,MAR,Sul,Rodrigo,3,4728.27
2018-05-10,MAI,Norte,Rafael,6,4242.21
2018-01-08,JAN,Sul,Raquel,7,1972.0
2018-02-08,FEV,Norte,Raquel,7,10333.21
2018-01-29,JAN,Sul,Rodrigo,3,7928.5
2018-04-24,ABR,Norte,Roberta,4,5113.01
2018-01-21,JAN,Sul,Ricardo,2,10447.49
2018-02-14,FEV,Sul,Roberto,1,5273.69
2018-05-11,MAI,Sul,Roberta,4,6901.12
2018-04-08,ABR,Nordeste,Roberto,1,4338.8
2018-02-09,FEV,Sul,Raquel,7,4796.73
2018-01-08,JAN,Sudeste,Renata,5,19228.1
2018-01-26,JAN,Nordeste,Roberta,4,11956.54
2018-04-14,ABR,Norte,Raquel,7,5354.99
2018-03-06,MAR,Sudeste,Raquel,7,4597.99
2018-03-18,MAR,Sul,Ricardo,2,1413.8
2018-01-10,JAN,Norte,Roberto,1,1419.19
2018-01-12,JAN,Norte,Roberto,1,5619.59
2018-01-06,JAN,Sudeste,Rafael,6,4292.44
2018-05-08,MAI,Sudeste,Ricardo,2,19228.1
2018-05-27,MAI,Norte,Renata,5,3850.0
2018-03-17,MAR,Norte,Ronaldo,8,12632.36
2018-01-30,JAN,Nordeste,Ricardo,2,15611.11
2018-05-09,MAI,Nordeste,Raquel,7,7621.26
2018-04-08,ABR,Sul,Ricardo,2,19228.1
2018-05-20,MAI,Norte,Renata,5,5519.5
2018-05-25,MAI,Norte,Ricardo,2,6898.57
2018-04-09,ABR,Nordeste,Raquel,7,2946.59
2018-03-24,MAR,Sul,Roberto,1,4490.89
2018-05-20,MAI,Norte,Renata,5,4012.8
2018-03-20,MAR,Sudeste,Ronaldo,8,9278.63
2018-03-17,MAR,Sul,Roberta,4,5583.32
2018-05-08,MAI,Sul,Renata,5,4256.11
2018-05-14,MAI,Sudeste,Ricardo,2,3601.54
2018-03-21,MAR,Nordeste,Ricardo,2,12332.17
2018-05-14,MAI,Sul,Roberta,4,4411.0
2018-04-10,ABR,Sudeste,Raquel,7,13785.89
2018-05-30,MAI,Sudeste,Renata,5,12749.46
2018-01-11,JAN,Nordeste,Rodrigo,3,5188.46
2018-01-19,JAN,Nordeste,Roberta,4,19228.1
2018-04-02,ABR,Norte,Ronaldo,8,15817.8
2018-05-07,MAI,Sul,Ricardo,2,3189.03
2018-05-07,MAI,Norte,Rodrigo,3,19228.1
2018-05-18,MAI,Sudeste,Ronaldo,8,5841.01
2018-03-26,MAR,Sudeste,Roberto,1,5179.36
2018-04-18,ABR,Sul,Raquel,7,1487.72
2018-03-11,MAR,Sul,Roberta,4,4913.35
2018-01-28,JAN,Nordeste,Ricardo,2,2334.46
2018-01-15,JAN,Sudeste,Rafael,6,3116.52
2018-03-01,MAR,Sudeste,Ronaldo,8,9082.73
2018-05-07,MAI,Nordeste,Ronaldo,8,3882.68
2018-02-17,FEV,Norte,Roberto,1,8804.05
2018-04-06,ABR,Sudeste,Renata,5,1640.12
2018-04-22,ABR,Sul,Ricardo,2,3406.48
2018-04-25,ABR,Nordeste,Rafael,6,2484.74
2018-02-01,FEV,Nordeste,Renata,5,5690.87
2018-02-15,FEV,Sudeste,Ricardo,2,19228.1
2018-01-21,JAN,Nordeste,Rodrigo,3,19228.1
2018-04-24,ABR,Norte,Rodrigo,3,1279.14
2018-05-05,MAI,Sudeste,Rafael,6,19228.1
2018-01-17,JAN,Sudeste,Roberta,4,12158.49
2018-02-18,FEV,Nordeste,Rafael,6,6266.53
2018-03-20,MAR,Sul,Ronaldo,8,2624.86
2018-04-13,ABR,Nordeste,Rafael,6,6945.32
2018-01-27,JAN,Nordeste,Roberta,4,1609.37
2018-03-25,MAR,Norte,Roberta,4,16539.16
2018-04-28,ABR,Sudeste,Rafael,6,10833.99
2018-02-21,FEV,Norte,Ronaldo,8,3621.78
2018-01-13,JAN,Sudeste,Rodrigo,3,5060.42
2018-02-03,FEV,Sul,Raquel,7,3157.4
2018-01-03,JAN,Sudeste,Rafael,6,8958.01
2018-05-05,MAI,Norte,Roberta,4,3182.78
2018-02-19,FEV,Sul,Rafael,6,1702.71
2018-03-07,MAR,Norte,Roberta,4,11032.48
2018-03-03,MAR,Nordeste,Rafael,6,2509.6
2018-03-12,MAR,Sul,Raquel,7,16744.39
2018-03-22,MAR,Norte,Rodrigo,3,19228.1
2018-03-25,MAR,Norte,Roberta,4,9591.78
2018-04-05,ABR,Sul,Raquel,7,4861.51
2018-04-20,ABR,Sul,Raquel,7,4211.76
2018-05-29,MAI,Sudeste,Roberto,1,12975.94
2018-03-07,MAR,Nordeste,Roberta,4,6137.61
2018-03-23,MAR,Sul,Renata,5,4538.47
2018-04-17,ABR,Nordeste,Raquel,7,8191.45
2018-03-23,MAR,Sul,Renata,5,6579.73
2018-05-20,MAI,Sul,Roberta,4,5345.84
2018-04-11,ABR,Sul,Ricardo,2,2983.14
2018-04-12,ABR,Norte,Roberto,1,2828.01
2018-03-20,MAR,Sudeste,Renata,5,2734.95
2018-03-23,MAR,Nordeste,Ronaldo,8,7458.04
2018-03-19,MAR,Sul,Rafael,6,7194.66
2018-05-19,MAI,Nordeste,Ricardo,2,19228.1
2018-04-29,ABR,Nordeste,Roberto,1,5000.86
2018-04-29,ABR,Sudeste,Ronaldo,8,3839.94
2018-03-23,MAR,Nordeste,Roberta,4,3268.84
2018-01-17,JAN,Sul,Ricardo,2,1915.1
2018-03-31,MAR,Sudeste,Ricardo,2,9206.41
2018-05-30,MAI,Norte,Ronaldo,8,1199.24
2018-04-24,ABR,Sul,Ronaldo,8,3163.21
2018-05-03,MAI,Norte,Renata,5,17342.85
2018-05-16,MAI,Sudeste,Roberto,1,2347.98
2018-05-11,MAI,Sul,Ronaldo,8,4638.98
2018-02-10,FEV,Sul,Roberta,4,4563.95
2018-05-31,MAI,Norte,Renata,5,9817.68
2018-04-20,ABR,Sudeste,Rodrigo,3,5414.81
2018-05-23,MAI,Norte,Renata,5,5472.09
2018-04-09,ABR,Sudeste,Renata,5,19228.1
2018-03-25,MAR,Sudeste,Rafael,6,19228.1
2018-03-22,MAR,Nordeste,Renata,5,8470.95
2018-01-03,JAN,Nordeste,Ronaldo,8,11061.62
2018-01-07,JAN,Sudeste,Rodrigo,3,4884.54
2018-04-14,ABR,Sudeste,Renata,5,3712.54
2018-05-15,MAI,Sudeste,Ronaldo,8,5839.88
2018-02-17,FEV,Sudeste,Renata,5,8022.12
2018-05-28,MAI,Sul,Roberta,4,11378.92
2018-05-20,MAI,Nordeste,Ronaldo,8,8383.1
2018-01-31,JAN,Norte,Raquel,7,1822.3
2018-03-25,MAR,Sul,Raquel,7,1372.01
2018-02-17,FEV,Sul,Raquel,7,7902.08
2018-05-05,MAI,Norte,Renata,5,10400.31
2018-05-23,MAI,Norte,Ronaldo,8,17232.39
2018-01-19,JAN,Norte,Rafael,6,2446.8
2018-01-26,JAN,Nordeste,Rafael,6,1775.38
2018-04-09,ABR,Sudeste,Raquel,7,3189.48
2018-01-19,JAN,Norte,Ricardo,2,2209.24
2018-01-09,JAN,Sul,Roberto,1,6687.87
2018-03-24,MAR,Sul,Roberto,1,2343.16
2018-02-11,FEV,Nordeste,Renata,5,19228.1
2018-05-02,MAI,Sudeste,Roberto,1,19228.1
2018-04-18,ABR,Nordeste,Ronaldo,8,13200.54
2018-05-11,MAI,Sudeste,Rodrigo,3,7842.38
2018-03-22,MAR,Nordeste,Ricardo,2,2180.09
2018-04-15,ABR,Nordeste,Rafael,6,4050.46
2018-04-14,ABR,Nordeste,Ricardo,2,4700.26
2018-05-21,MAI,Sudeste,Rodrigo,3,10773.64
2018-03-09,MAR,Nordeste,Raquel,7,8771.06
2018-03-02,MAR,Sul,Ricardo,2,9097.87
2018-01-20,JAN,Sul,Roberta,4,13417.89
2018-02-17,FEV,Sul,Ricardo,2,2251.62
2018-02-03,FEV,Sul,Raquel,7,4218.17
2018-02-05,FEV,Norte,Roberta,4,2529.27
2018-03-04,MAR,Norte,Roberto,1,8796.72
2018-05-11,MAI,Nordeste,Ronaldo,8,5252.24
2018-05-28,MAI,Norte,Ricardo,2,5805.97
2018-02-17,FEV,Sudeste,Rodrigo,3,2493.79
2018-05-26,MAI,Nordeste,Raquel,7,3498.11
2018-03-06,MAR,Norte,Ricardo,2,5389.76
2018-03-06,MAR,Sudeste,Ricardo,2,3144.33
2018-01-17,JAN,Norte,Roberto,1,4921.71
2018-04-14,ABR,Sudeste,Raquel,7,1544.98
2018-02-28,FEV,Sudeste,Rafael,6,5399.07
2018-05-07,MAI,Norte,Roberta,4,7379.4
2018-02-15,FEV,Nordeste,Rodrigo,3,6699.36
2018-03-22,MAR,Sul,Roberta,4,10238.86
2018-05-23,MAI,Sul,Renata,5,19228.1
2018-01-09,JAN,Norte,Rafael,6,2586.87
2018-01-18,JAN,Sudeste,Rafael,6,6878.66
2018-05-06,MAI,Sul,Rafael,6,13283.51
2018-02-15,FEV,Sul,Roberto,1,3867.6
2018-03-21,MAR,Sul,Renata,5,8540.83
2018-03-07,MAR,Nordeste,Roberta,4,1922.13
2018-05-03,MAI,Sul,Ricardo,2,6581.48
2018-03-07,MAR,Sudeste,Raquel,7,5360.79
2018-04-07,ABR,Sul,Renata,5,12004.13
2018-01-28,JAN,Nordeste,Roberto,1,8526.2
2018-02-07,FEV,Norte,Rodrigo,3,5635.48
2018-03-16,MAR,Nordeste,Rodrigo,3,19228.1
2018-01-20,JAN,Nordeste,Roberta,4,13594.69
2018-04-24,ABR,Norte,Rodrigo,3,1491.24
2018-05-08,MAI,Norte,Raquel,7,5511.12
2018-01-22,JAN,Norte,Rodrigo,3,5567.45
2018-05-15,MAI,Nordeste,Roberto,1,3323.6
2018-01-03,JAN,Nordeste,Renata,5,11396.79
2018-03-08,MAR,Norte,Ricardo,2,4878.25
2018-04-30,ABR,Nordeste,Roberta,4,3822.22
2018-05-12,MAI,Sul,Roberto,1,5775.62
2018-01-07,JAN,Norte,Ronaldo,8,8452.83
2018-02-24,FEV,Sudeste,Roberta,4,6170.94
2018-01-11,JAN,Norte,Raquel,7,11552.18
2018-02-18,FEV,Nordeste,Raquel,7,6628.54
2018-01-03,JAN,Nordeste,Raquel,7,3118.06
2018-02-01,FEV,Sudeste,Ronaldo,8,15035.51
2018-02-02,FEV,Sudeste,Renata,5,5738.54
2018-03-27,MAR,Sul,Raquel,7,5871.62
2018-03-24,MAR,Sul,Roberta,4,15933.7
2018-04-30,ABR,Sul,Raquel,7,4221.28
2018-01-24,JAN,Sul,Rodrigo,3,4414.47
2018-04-21,ABR,Nordeste,Rafael,6,4176.39
2018-04-09,ABR,Norte,Renata,5,10758.04
2018-02-25,FEV,Sudeste,Renata,5,4072.29
2018-05-31,MAI,Norte,Roberta,4,12334.48
2018-03-03,MAR,Norte,Ricardo,2,1353.76
2018-01-16,JAN,Sudeste,Ronaldo,8,6670.83
2018-03-30,MAR,Nordeste,Renata,5,2904.27
2018-02-02,FEV,Sudeste,Rodrigo,3,3163.95
2018-01-10,JAN,Sudeste,Rodrigo,3,13091.72
2018-01-20,JAN,Norte,Ricardo,2,19228.1
2018-03-11,MAR,Sul,Rodrigo,3,11373.95
2018-03-28,MAR,Sudeste,Renata,5,2415.27
2018-02-28,FEV,Norte,Rodrigo,3,4882.37
2018-02-09,FEV,Sul,Rodrigo,3,6636.39
2018-03-26,MAR,Norte,Rodrigo,3,6032.83
2018-03-18,MAR,Norte,Rafael,6,2791.38
2018-04-08,ABR,Norte,Renata,5,12323.35
2018-03-18,MAR,Sudeste,Renata,5,1794.94
2018-01-07,JAN,Norte,Ronaldo,8,17325.67
2018-04-20,ABR,Norte,Rafael,6,4341.14
2018-03-25,MAR,Norte,Ricardo,2,1291.93
2018-01-16,JAN,Norte,Roberta,4,6949.38
2018-04-09,ABR,Nordeste,Roberta,4,19228.1
2018-04-25,ABR,Sudeste,Rafael,6,7034.52
2018-04-19,ABR,Sudeste,Rodrigo,3,7778.55
2018-03-24,MAR,Norte,Rafael,6,7772.56
2018-03-04,MAR,Nordeste,Rafael,6,7286.84
2018-05-26,MAI,Nordeste,Rodrigo,3,4253.67
2018-01-15,JAN,Nordeste,Rafael,6,4061.81
2018-04-24,ABR,Sul,Roberta,4,3809.2
2018-01-31,JAN,Norte,Rafael,6,2540.25
2018-05-13,MAI,Sudeste,Ricardo,2,10629.06
2018-05-09,MAI,Sul,Ronaldo,8,13250.87
2018-01-19,JAN,Nordeste,Ricardo,2,4106.27
2018-04-10,ABR,Sul,Roberto,1,17939.73
2018-01-20,JAN,Nordeste,Raquel,7,8428.31
2018-01-24,JAN,Sudeste,Ricardo,2,5806.23
2018-04-06,ABR,Sul,Renata,5,18985.29
2018-03-18,MAR,Nordeste,Roberta,4,5267.76
2018-03-26,MAR,Nordeste,Renata,5,8296.98
2018-01-24,JAN,Norte,Renata,5,6063.65
2018-05-22,MAI,Sul,Rafael,6,10437.43
2018-01-09,JAN,Sudeste,Roberto,1,6610.46
2018-02-09,FEV,Sul,Renata,5,6166.06
2018-05-06,MAI,Sul,Raquel,7,5035.89
2018-01-25,JAN,Sul,Raquel,7,1960.02
2018-01-23,JAN,Sudeste,Raquel,7,2198.36
2018-05-13,MAI,Sul,Rodrigo,3,4270.76
2018-03-22,MAR,Nordeste,Roberta,4,1631.01
2018-03-15,MAR,Sudeste,Roberta,4,2708.36
2018-01-03,JAN,Sudeste,Rafael,6,4306.66
2018-02-05,FEV,Norte,Rafael,6,13860.17
2018-01-13,JAN,Norte,Rodrigo,3,2618.26
2018-03-26,MAR,Sudeste,Rodrigo,3,4879.87
2018-01-26,JAN,Nordeste,Roberta,4,9560.74
2018-05-24,MAI,Sul,Ronaldo,8,19228.1
2018-01-03,JAN,Sul,Rafael,6,5423.69
2018-02-16,FEV,Sul,Renata,5,2927.52
2018-03-23,MAR,Nordeste,Renata,5,971.48
2018-02-15,FEV,Norte,Raquel,7,3553.89
2018-03-19,MAR,Sudeste,Roberta,4,8047.78
2018-02-18,FEV,Norte,Raquel,7,3660.2
2018-02-01,FEV,Sudeste,Roberta,4,19228.1
2018-02-10,FEV,Sudeste,Roberto,1,8798.77
2018-02-26,FEV,Norte,Rafael,6,5429.0
2018-03-25,MAR,Norte,Rafael,6,9481.73
